Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  19:45:00,-1.375,0.0,0.0,0.0,0.0,0.0,0.0,-0.8706953688685107,-2.4450482469006244,-1.2720622042659216,-2.403094336747813,-0.8251297561534323 
 01/01  20:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.8519486823874647,-2.1455876193087506,-1.1952025510522049,-2.15121874818135,-0.8200695604847563 
 01/01  20:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.8825356929837939,-2.446621429944848,-1.256812155964667,-2.358196247542139,-0.8180765546094556 
 01/01  20:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.9156353764823393,-2.673180166581078,-1.317328693943466,-2.5131308550261908,-0.8242435437135482 
 01/01  20:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.9615121454102635,-3.0424782461280746,-1.3965579666538588,-2.7469661565820617,-0.8409641075149408 
 01/01  21:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0119629243547735,-3.522608797894608,-1.492869828185178,-3.0038460796754409,-0.8674466625593634 
 01/01  21:15:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.9810579727958694,-3.001082847797386,-1.4364276437258355,-2.7372734913197975,-0.890186952113388 
 01/01  21:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.9588312363302909,-2.6480127801691215,-1.3675420091542492,-2.513222746271822,-0.901032644050169 
 01/01  21:45:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.9411674054195764,-2.417568536700165,-1.3105962223821735,-2.354430691974585,-0.9011885821933019 
 01/01  22:00:00,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.9189159737032795,-2.1162338652636687,-1.2431307721333838,-2.1311225085383969,-0.8950278709671663 
 01/01  22:15:00,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.9492706450286582,-2.4209845676605639,-1.3246943912253074,-2.4109162256399374,-0.8909620977736772 
 01/01  22:30:00,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.9796770040497325,-2.7253868075248697,-1.4190522985969665,-2.699439253886453,-0.8948774127617569 
 01/01  22:45:00,-1.5499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.0119696959005063,-3.0303083997627415,-1.5140999090085643,-2.9879327971987097,-0.9075589334649061 
 01/01  23:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0471626737574927,-3.3356439529862604,-1.6111395946660423,-3.2767383999832875,-0.9273032422516209 
 01/01  23:15:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0630528591392546,-3.3889895177917728,-1.6431077848708356,-3.3331341594958987,-0.9492452356112774 
 01/01  23:30:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.083044202289178,-3.4433414771583936,-1.6710309981380647,-3.389601302711867,-0.970242456844071 
 01/01  23:45:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1017244904930504,-3.4975129554684036,-1.7001119453680645,-3.4464803212260337,-0.9895993984862045 
 01/01  24:00:00,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1200981348859432,-3.5517342122378108,-1.7285381365188642,-3.5031484930336775,-1.0077189108306466 
